Tweet ID,Text,Username,Time,Location
1327974812069879811,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",Come on MAN!!!,2020-02-03 00:00:00,USA
1327974854381940737,"RT @ANI: More oxygen cylinders, High Flow Nasal Cannula and other necessary equipments to be made available to Delhi Government by the Cent…",सनातनी ( आर्यावर्त),2020-02-03 00:00:00,India
1327974864938881024,"RT @ANI: More oxygen cylinders, High Flow Nasal Cannula and other necessary equipments to be made available to Delhi Government by the Cent…",God,2020-02-03 00:00:00,India
1327974892029894662,RT @ANI: Dedicated multi-department teams to visit all private hospitals in Delhi for inspection of availability of  COVID19  medical infra…,God,2020-02-03 00:00:00,India
1327974900347392005,RT @StevenDelDuca: Doug Ford betrayed us all. He lied about the advice he was receiving and based his failed plan off of political advice.…,Fandramon ~ New phone!,2020-02-03 00:00:00,Canada
1327974901924433921,"RT @BillyCorben: While over 130 Secret Service agents are quarantined due to coronavirus, four were stuck shopping with Tiffany Trump on Wo…",Patty Brown,2020-02-03 00:00:00,USA
1327974939949936641,"RT @GOPChairwoman: It is because of @realDonaldTrump and his administration that in less than a year, enough coronavirus vaccines to immuni…",KottonKing,2020-02-03 00:00:00,USA
1327974974859120641,"RT @donwinslow: Donald Trump has not attended a coronavirus task force meeting in 'at least five months,' said one senior administration of…",Patricia Lee,2020-02-03 00:00:00,Canada
1327975003887783936,DONT’T BUY INTO THIS FEAR MONGERING BULL💩  https://t.co/8Bm17jE4ad,LilMissRealist,2020-02-03 00:00:00,Canada
1327975008761765890,"Art has no beginning and no end, like the rainbow and like life: it has no goal. -Yaacov Agam
Follow… https://t.co/0jBlnzMxoF",theBULLYexposed,2020-02-03 00:00:00,USA
1327975019109113856,"Transitioning to online-only events presents a number of unique challenges, particularly in a widespread crisis eve… https://t.co/s1cltMGtIE",GlobalLogic Inc.,2020-02-03 00:00:00,USA
